STATION,NAME,DATE,Month,AWND,AWND_ATTRIBUTES,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/1/2016,January,15.21,",,W",,,,,,,0.04,",,W,2400",0.9,",,W",2,",,W",27,"H,,S",30,",,W",24,",,W",,,260,",,W",260,",,W",,,,,25.1,",,W",33.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/2/2016,January,15.66,",,W",,,,,,,0,",,W,2400",0,",,W",2,",,W",31,"H,,S",36,",,W",29,",,W",,,270,",,W",270,",,W",,,,,28,",,W",36,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/3/2016,January,11.63,",,W",,,,,,,0,"T,,W,2400",0,"T,,W",2,",,W",32,"H,,S",34,",,W",27,",,W",,,290,",,W",280,",,W",,,,,19.9,",,W",25.9,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/4/2016,January,8.5,",,W",,,,,,,0.02,",,W,2400",0.3,",,W",2,",,W",25,"H,,S",27,",,W",12,",,W",,,50,",,W",60,",,W",,,,,21.9,",,W",27.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/5/2016,January,8.5,",,W",,,,,,,0,",,W,2400",0,",,W",2,",,W",18,"H,,S",30,",,W",10,",,W",,,190,",,W",190,",,W",,,,,16.1,",,W",19,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/6/2016,January,8.72,",,W",,,,,,,0,",,W,2400",0,",,W",1,",,W",27,"H,,S",36,",,W",20,",,W",,,210,",,W",210,",,W",,,,,14.1,",,W",17,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/7/2016,January,6.26,",,W",,,,,,,0,"T,,W,2400",0,",,W",1,",,W",34,"H,,S",42,",,W",31,",,W",,,160,",,W",160,",,W",,,,,12.1,",,W",14.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/8/2016,January,7.38,",,W",,,,,,,0.2,",,W,2400",0,",,W",1,",,W",36,"H,,S",41,",,W",33,",,W",,,100,",,W",120,",,W",,,,,12.1,",,W",15,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/9/2016,January,7.61,",,W",,,,,,,0.43,",,W,2400",0,"T,,W",0,"T,,W",40,"H,,S",43,",,W",34,",,W",,,250,",,W",250,",,W",,,,,15,",,W",18.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/10/2016,January,17,",,W",,,,,,,0.17,",,W,2400",2.1,",,W",1,",,W",29,"H,,S",34,",,W",15,",,W",,,290,",,W",310,",,W",,,,,28,",,W",38,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/11/2016,January,11.41,",,W",,,,,,,0.1,",,W,2400",2.6,",,W",2,",,W",15,"H,,S",16,",,W",13,",,W",,,280,",,W",270,",,W",,,,,21,",,W",27.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/12/2016,January,14.99,",,W",,,,,,,0.16,",,W,2400",4.7,",,W",6,",,W",17,"H,,S",22,",,W",13,",,W",,,290,",,W",290,",,W",,,,,28,",,W",36,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/13/2016,January,12.75,",,W",,,,,,,0.09,",,W,2400",1.9,",,W",5,",,W",14,"H,,S",19,",,W",13,",,W",,,190,",,W",210,",,W",,,,,21,",,W",25.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/14/2016,January,6.93,",,W",,,,,,,0,",,W,2400",0,"T,,W",5,",,W",24,"H,,S",35,",,W",19,",,W",,,90,",,W",90,",,W",,,,,12.1,",,W",13,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/15/2016,January,9.84,",,W",,,,,,,0.15,",,W,2400",0,"T,,W",4,",,W",33,"H,,S",41,",,W",23,",,W",,,300,",,W",290,",,W",,,,,21,",,W",28,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/16/2016,January,13.42,",,W",,,,,,,0,"T,,W,2400",0.1,",,W",1,",,W",30,"H,,S",32,",,W",23,",,W",,,320,",,W",320,",,W",,,,,23.9,",,W",33.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/17/2016,January,13.87,",,W",,,,,,,0.01,",,W,2400",0.3,",,W",1,",,W",16,"H,,S",23,",,W",10,",,W",,,280,",,W",270,",,W",,,,,23,",,W",29.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/18/2016,January,11.41,",,W",,,,,,,0.09,",,W,2400",2.6,",,W",2,",,W",11,"H,,S",15,",,W",8,",,W",,,270,",,W",290,",,W",,,,,21.9,",,W",30,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/19/2016,January,6.49,",,W",,,,,,,0.01,",,W,2400",0.3,",,W",3,",,W",13,"H,,S",23,",,W",2,",,W",,,240,",,W",250,",,W",,,,,15,",,W",15,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/20/2016,January,4.92,",,W",,,,,,,0.02,",,W,2400",0.6,",,W",3,",,W",17,"H,,S",22,",,W",11,",,W",,,180,",,W",180,",,W",,,,,10.1,",,W",13,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/21/2016,January,6.26,",,W",,,,,,,0.04,",,W,2400",0.6,",,W",3,",,W",21,"H,,S",25,",,W",18,",,W",,,200,",,W",200,",,W",,,,,12.1,",,W",15,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/22/2016,January,6.49,",,W",,,,,,,0,"T,,W,2400",0,"T,,W",3,",,W",25,"H,,S",31,",,W",16,",,W",,,40,",,W",40,",,W",,,,,17,",,W",19.9,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/23/2016,January,6.71,",,W",,,,,,,0,",,W,2400",0,",,W",3,",,W",23,"H,,S",34,",,W",16,",,W",,,20,",,W",10,",,W",,,,,12.1,",,W",15,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/24/2016,January,10.29,",,W",,,,,,,0,",,W,2400",0,",,W",3,",,W",24,"H,,S",29,",,W",16,",,W",,,250,",,W",200,",,W",,,,,21,",,W",25.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/25/2016,January,9.4,",,W",,,,,,,0.07,",,W,2400",0,",,W",3,",,W",30,"H,,S",38,",,W",22,",,W",,,190,",,W",200,",,W",,,,,18.1,",,W",21,",,W"
