YEAR,NAME,MONTH,SNOW
2016,"ADA 0.7 SE, MI US",5,
2016,"ADA 0.7 SE, MI US",6,
2016,"ADA 1.8 W, MI US",1,0.6096774193548387
2016,"ADA 1.8 W, MI US",2,0.496551724137931
2016,"ADA 1.8 W, MI US",3,0.3225806451612903
2016,"ADA 1.8 W, MI US",4,0.23333333333333334
2016,"ADA 1.8 W, MI US",5,0.0
2016,"ADA 1.8 W, MI US",6,0.0
2016,"ADA 1.8 W, MI US",7,0.0
2016,"ADA 1.8 W, MI US",8,0.0
2016,"ADA 1.8 W, MI US",9,0.0
2016,"ADA 1.8 W, MI US",10,0.0
2016,"ADA 1.8 W, MI US",11,0.04
2016,"ADA 1.8 W, MI US",12,1.1548387096774193
2016,"ALLENDALE 1.3 SSW, MI US",1,1.3615384615384616
2016,"ALLENDALE 1.3 SSW, MI US",2,0.688
2016,"ALLENDALE 1.3 SSW, MI US",3,0.4117647058823529
2016,"ALLENDALE 1.3 SSW, MI US",4,0.5533333333333333
2016,"ALLENDALE 1.3 SSW, MI US",5,0.0
2016,"ALLENDALE 1.3 SSW, MI US",6,0.0
2016,"ALLENDALE 1.3 SSW, MI US",7,0.0
2016,"ALLENDALE 1.3 SSW, MI US",8,0.0
2016,"ALLENDALE 1.3 SSW, MI US",9,0.0
2016,"ALLENDALE 1.3 SSW, MI US",10,0.0
2016,"ALLENDALE 1.3 SSW, MI US",11,0.05
2016,"ALLENDALE 1.3 SSW, MI US",12,1.217857142857143
2016,"ALLENDALE 2.1 SE, MI US",3,0.0
2016,"ALLENDALE 2.1 SE, MI US",4,0.0
2016,"ALLENDALE 2.1 SE, MI US",5,0.0
2016,"ALLENDALE 2.1 SE, MI US",6,0.0
2016,"ALLENDALE 2.1 SE, MI US",7,0.0
2016,"ALLENDALE 2.1 SE, MI US",8,0.0
2016,"ALLENDALE 2.1 SE, MI US",9,0.0
2016,"ALLENDALE 2.1 SE, MI US",10,
2016,"ALTO 4.5 SW, MI US",5,
2016,"ALTO 4.5 SW, MI US",6,
2016,"ALTO 4.5 SW, MI US",7,
2016,"ALTO 4.5 SW, MI US",8,
2016,"ALTO 4.5 SW, MI US",9,
2016,"ALTO 4.5 SW, MI US",10,
2016,"BELMONT 1.0 WNW, MI US",1,0.5708333333333333
2016,"BELMONT 1.0 WNW, MI US",2,0.17272727272727273
2016,"BELMONT 1.0 WNW, MI US",4,0.0
2016,"BELMONT 1.0 WNW, MI US",5,0.025
2016,"BELMONT 1.0 WNW, MI US",6,0.0
2016,"BELMONT 1.0 WNW, MI US",7,0.0
