YEAR,NAME,MONTH,SNOW
2016,"ADA 0.7 SE, MI US",5,0.0
2016,"ADA 0.7 SE, MI US",6,0.0
2016,"ADA 1.8 W, MI US",1,18.9
2016,"ADA 1.8 W, MI US",2,14.4
2016,"ADA 1.8 W, MI US",3,10.0
2016,"ADA 1.8 W, MI US",4,7.0
2016,"ADA 1.8 W, MI US",5,0.0
2016,"ADA 1.8 W, MI US",6,0.0
2016,"ADA 1.8 W, MI US",7,0.0
2016,"ADA 1.8 W, MI US",8,0.0
2016,"ADA 1.8 W, MI US",9,0.0
2016,"ADA 1.8 W, MI US",10,0.0
2016,"ADA 1.8 W, MI US",11,1.2
2016,"ADA 1.8 W, MI US",12,35.8
2016,"ALLENDALE 1.3 SSW, MI US",1,35.4
2016,"ALLENDALE 1.3 SSW, MI US",2,17.2
2016,"ALLENDALE 1.3 SSW, MI US",3,7.0
2016,"ALLENDALE 1.3 SSW, MI US",4,8.3
2016,"ALLENDALE 1.3 SSW, MI US",5,0.0
2016,"ALLENDALE 1.3 SSW, MI US",6,0.0
2016,"ALLENDALE 1.3 SSW, MI US",7,0.0
2016,"ALLENDALE 1.3 SSW, MI US",8,0.0
2016,"ALLENDALE 1.3 SSW, MI US",9,0.0
2016,"ALLENDALE 1.3 SSW, MI US",10,0.0
2016,"ALLENDALE 1.3 SSW, MI US",11,1.0
2016,"ALLENDALE 1.3 SSW, MI US",12,34.1
2016,"ALLENDALE 2.1 SE, MI US",3,0.0
2016,"ALLENDALE 2.1 SE, MI US",4,0.0
2016,"ALLENDALE 2.1 SE, MI US",5,0.0
2016,"ALLENDALE 2.1 SE, MI US",6,0.0
2016,"ALLENDALE 2.1 SE, MI US",7,0.0
2016,"ALLENDALE 2.1 SE, MI US",8,0.0
2016,"ALLENDALE 2.1 SE, MI US",9,0.0
2016,"ALLENDALE 2.1 SE, MI US",10,0.0
2016,"ALTO 4.5 SW, MI US",5,0.0
2016,"ALTO 4.5 SW, MI US",6,0.0
2016,"ALTO 4.5 SW, MI US",7,0.0
2016,"ALTO 4.5 SW, MI US",8,0.0
2016,"ALTO 4.5 SW, MI US",9,0.0
2016,"ALTO 4.5 SW, MI US",10,0.0
2016,"BELMONT 1.0 WNW, MI US",1,13.7
2016,"BELMONT 1.0 WNW, MI US",2,1.9000000000000001
2016,"BELMONT 1.0 WNW, MI US",4,0.0
2016,"BELMONT 1.0 WNW, MI US",5,0.4
2016,"BELMONT 1.0 WNW, MI US",6,0.0
2016,"BELMONT 1.0 WNW, MI US",7,0.0
2016,"BELMONT 1.0 WNW, MI US",8,0.0
2016,"BELMONT 1.0 WNW, MI US",9,0.0
2016,"BELMONT 1.0 WNW, MI US",10,0.0
2016,"BELMONT 1.0 WNW, MI US",11,0.0
2016,"BELMONT 1.0 WNW, MI US",12,23.7
2016,"CALEDONIA 4.4 WNW, MI US",1,14.9
2016,"CALEDONIA 4.4 WNW, MI US",2,14.7
2016,"CALEDONIA 4.4 WNW, MI US",3,9.4
2016,"CALEDONIA 4.4 WNW, MI US",4,8.3
2016,"CALEDONIA 4.4 WNW, MI US",5,0.0
2016,"CALEDONIA 4.4 WNW, MI US",6,0.0
2016,"CALEDONIA 4.4 WNW, MI US",7,0.0
2016,"CALEDONIA 4.4 WNW, MI US",8,0.0
2016,"CALEDONIA 4.4 WNW, MI US",9,0.0
2016,"CALEDONIA 4.4 WNW, MI US",10,0.0
2016,"CALEDONIA 4.4 WNW, MI US",11,0.0
2016,"CALEDONIA 4.4 WNW, MI US",12,24.5
2016,"COMSTOCK PARK 1.0 NNW, MI US",3,0.0
2016,"COMSTOCK PARK 1.0 NNW, MI US",4,0.0
